State_Name,Total_Schools,Facility_Type,Count,Category,Percentage
India,1471473,Drinking Water,1456968,WASH,99.0142530647861
India,1471473,Handwash,1411644,WASH,95.93407422358412
India,1471473,Girls Toilet,1372881,WASH,93.29977512329482
India,1471473,Electricity,1352061,Power,91.88486638898573
India,1471473,Boys Toilet,1334739,WASH,90.70767863222771
India,1471473,Medical Checkup,1111495,Inclusivity,75.53621439197322
India,1471473,Electricity (Govt),935216,Power,63.55644989748368
India,1471473,Internet,933987,Digital,63.472928147509336
India,1471473,Functional Computer,852684,Digital,57.947648376830564
India,1471473,Ramps with Handrails,808460,Inclusivity,54.94222456001571
India,1471473,CWSN Toilet,491262,Inclusivity,33.3857298095174
Uttar Pradesh,262358,Drinking Water,260722,WASH,99.37642458015384
Uttar Pradesh,262358,Handwash,251524,WASH,95.87052805708231
Uttar Pradesh,262358,Girls Toilet,245884,WASH,93.72079372460531
Uttar Pradesh,262358,Boys Toilet,244986,WASH,93.37851332911518
Uttar Pradesh,262358,Electricity,225711,Power,86.03168190030416
Uttar Pradesh,262358,Medical Checkup,163296,Inclusivity,62.24166977946165
Uttar Pradesh,262358,Functional Computer,134462,Digital,51.2513435839578
Uttar Pradesh,262358,Ramps with Handrails,130461,Inclusivity,49.72632814703573
Uttar Pradesh,262358,Electricity (Govt),124386,Power,47.410789836787906
Madhya Pradesh,122120,Drinking Water,120755,WASH,98.88224697019325
Uttar Pradesh,262358,Internet,120465,Digital,45.916267085432885
Madhya Pradesh,122120,Handwash,114539,WASH,93.79217163445792
Uttar Pradesh,262358,CWSN Toilet,113942,Inclusivity,43.429969736009575
Maharashtra,108250,Drinking Water,107835,WASH,99.61662817551962
Madhya Pradesh,122120,Electricity,107204,Power,87.78578447428758
Maharashtra,108250,Handwash,107041,WASH,98.88314087759815
Madhya Pradesh,122120,Girls Toilet,106996,WASH,87.61546020307894
Rajasthan,106302,Drinking Water,104930,WASH,98.70933754774134
Madhya Pradesh,122120,Boys Toilet,104520,WASH,85.58794628234524
Rajasthan,106302,Handwash,102859,WASH,96.76111456040339
Maharashtra,108250,Girls Toilet,101286,WASH,93.56674364896074
Maharashtra,108250,Medical Checkup,99772,Inclusivity,92.16812933025405
Maharashtra,108250,Boys Toilet,98061,WASH,90.58752886836028
Rajasthan,106302,Electricity,97075,Power,91.3200127937386
Maharashtra,108250,Electricity,96200,Power,88.86836027713626
Bihar,94339,Drinking Water,93936,WASH,99.57281718059339
West Bengal,93715,Drinking Water,93628,WASH,99.90716534172758
Rajasthan,106302,Girls Toilet,92729,WASH,87.2316607401554
West Bengal,93715,Girls Toilet,92465,WASH,98.66616870298245
Bihar,94339,Girls Toilet,92426,WASH,97.97220661656367
Bihar,94339,Handwash,91653,WASH,97.15282120861998
West Bengal,93715,Handwash,91597,WASH,97.73995625033346
Bihar,94339,Electricity,91579,Power,97.07438069091256
Bihar,94339,Boys Toilet,91112,WASH,96.57935742375899
West Bengal,93715,Electricity,90998,Power,97.10078429280264
West Bengal,93715,Boys Toilet,90595,WASH,96.67075708264419
Rajasthan,106302,Boys Toilet,89515,WASH,84.20819928129292
Maharashtra,108250,Ramps with Handrails,88287,Inclusivity,81.55842956120092
Madhya Pradesh,122120,Medical Checkup,85756,Inclusivity,70.22273173927285
Maharashtra,108250,Functional Computer,82992,Digital,76.66697459584296
West Bengal,93715,Electricity (Govt),80137,Power,85.51139091927654
Bihar,94339,Internet,80035,Digital,84.83765992855552
Madhya Pradesh,122120,Electricity (Govt),78813,Power,64.53734032099574
Maharashtra,108250,Internet,78084,Digital,72.13302540415705
Karnataka,74859,Drinking Water,74780,WASH,99.89446826700863
Rajasthan,106302,Internet,74358,Digital,69.9497657616978
Bihar,94339,Electricity (Govt),74322,Power,78.78183996014374
Karnataka,74859,Electricity,73570,Power,98.27809615410304
Karnataka,74859,Girls Toilet,73289,WASH,97.90272378738696
Rajasthan,106302,Medical Checkup,70688,Inclusivity,66.4973377735132
Karnataka,74859,Boys Toilet,70504,WASH,94.18239623826126
Karnataka,74859,Handwash,70061,WASH,93.59061702667681
Karnataka,74859,Medical Checkup,68606,Inclusivity,91.64696295702588
Madhya Pradesh,122120,Functional Computer,66314,Digital,54.30232558139535
Maharashtra,108250,CWSN Toilet,63212,Inclusivity,58.39445727482679
