State_Name,Total_Schools,Facility,Status,Count,Percentage_of_Total_Schools
India,1471473,Electricity,Available,1377945,93.64392007192792
Andaman and Nicobar Islands,408,Electricity,Available,383,93.87254901960785
Andhra Pradesh,61317,Electricity,Available,61196,99.80266484009329
Arunachal Pradesh,3229,Electricity,Available,2320,71.84886961907712
Assam,55283,Electricity,Available,49566,89.6586654125138
Bihar,94339,Electricity,Available,91956,97.47400332842197
Chandigarh,207,Electricity,Available,207,100.0
Chhattisgarh,56802,Electricity,Available,53768,94.65863878032464
Dadra and Nagar Haveli and Daman and Diu,433,Electricity,Available,433,100.0
Delhi,5556,Electricity,Available,5556,100.0
Goa,1479,Electricity,Available,1479,100.0
Gujarat,53355,Electricity,Available,53310,99.91565926342425
Haryana,23494,Electricity,Available,23485,99.96169234698222
Himachal Pradesh,17330,Electricity,Available,17227,99.40565493364109
Jammu and Kashmir,24192,Electricity,Available,22127,91.46412037037037
Jharkhand,44376,Electricity,Available,42415,95.58094465476835
Karnataka,74859,Electricity,Available,74142,99.04219933474933
Kerala,15757,Electricity,Available,15739,99.88576505680015
Ladakh,961,Electricity,Available,794,82.6222684703434
Lakshadweep,36,Electricity,Available,36,100.0
Madhya Pradesh,122120,Electricity,Available,111320,91.15623976416639
Maharashtra,108250,Electricity,Available,102683,94.85727482678983
Manipur,4666,Electricity,Available,3262,69.90998714102015
Meghalaya,14587,Electricity,Available,4475,30.678000959758688
Mizoram,3974,Electricity,Available,3483,87.64469048817313
Nagaland,2750,Electricity,Available,2347,85.34545454545454
Odisha,61565,Electricity,Available,59987,97.43685535612767
Puducherry,763,Electricity,Available,763,100.0
Punjab,27281,Electricity,Available,27272,99.96701000696456
Rajasthan,106302,Electricity,Available,98054,92.24097382927884
Sikkim,1245,Electricity,Available,1231,98.87550200803213
Tamil Nadu,57935,Electricity,Available,57770,99.71519806679899
Telangana,43154,Electricity,Available,41845,96.9666774806507
Tripura,4943,Electricity,Available,4109,83.1276552700789
Uttar Pradesh,262358,Electricity,Available,229759,87.57461178999687
Uttarakhand,22452,Electricity,Available,21611,96.25423124888651
West Bengal,93715,Electricity,Available,91835,97.9939177292856
Lakshadweep,36,Computer,Available,36,100.0
Chandigarh,207,Computer,Available,206,99.51690821256038
Andaman and Nicobar Islands,408,Computer,Available,346,84.80392156862744
Dadra and Nagar Haveli and Daman and Diu,433,Computer,Available,421,97.22863741339492
Ladakh,961,Computer,Available,579,60.24973985431842
Puducherry,763,Computer,Available,759,99.47575360419397
Goa,1479,Computer,Available,844,57.06558485463151
Sikkim,1245,Computer,Available,1166,93.65461847389558
Arunachal Pradesh,3229,Computer,Available,1539,47.66181480334469
Manipur,4666,Computer,Available,1775,38.041148735533646
