Management_Detailed,Management_Group,School_Category,Gender_Type,Geography,Total_Schools,Electricity,Drinking Water,Toilets (All),Toilets (Boys),Toilets (Girls),Handwash,Medical Checkup,Ramps,Internet,Computers
Department of Education,Government,Foundational and Preparatory,Boys,Rural,1286,1224,1276,1225,1225,0,1231,1148,1105,671,652
Department of Education,Government,Foundational and Preparatory,Girls,Rural,1626,1564,1616,1555,0,1555,1574,1386,1429,836,834
Department of Education,Government,Foundational and Preparatory,Co.Educational,Rural,422175,386510,417030,405253,388378,395110,403876,337132,366531,210257,180510
Tribal Welfare Department,Government,Foundational and Preparatory,Boys,Rural,360,340,357,347,347,0,342,294,295,123,165
Tribal Welfare Department,Government,Foundational and Preparatory,Girls,Rural,429,397,427,408,0,408,412,346,403,162,224
Tribal Welfare Department,Government,Foundational and Preparatory,Co.Educational,Rural,25351,16836,24883,21397,18900,20132,22610,19960,20217,10387,9639
Local Body,Government,Foundational and Preparatory,Boys,Rural,314,285,312,304,304,0,311,302,302,228,236
Local Body,Government,Foundational and Preparatory,Girls,Rural,370,349,367,356,0,356,362,354,356,274,257
Local Body,Government,Foundational and Preparatory,Co.Educational,Rural,123495,108661,122419,114999,103780,112091,120467,110196,105382,86679,63544
Government Aided,Govt Aided,Foundational and Preparatory,Boys,Rural,111,103,110,108,108,0,109,100,73,77,46
Government Aided,Govt Aided,Foundational and Preparatory,Girls,Rural,78,70,78,76,0,76,77,74,45,53,32
Government Aided,Govt Aided,Foundational and Preparatory,Co.Educational,Rural,10866,8265,10050,9773,9432,9546,9085,9275,7293,5782,4376
Private Unaided (Recognized),Govt Aided,Foundational and Preparatory,Boys,Rural,43,37,42,41,41,0,40,22,18,16,15
Private Unaided (Recognized),Govt Aided,Foundational and Preparatory,Girls,Rural,62,50,62,61,0,61,58,27,23,31,22
Private Unaided (Recognized),Govt Aided,Foundational and Preparatory,Co.Educational,Rural,52357,42217,51519,49197,48942,48498,48219,25638,25414,27957,23396
Other State Govt. Managed,Government,Foundational and Preparatory,Boys,Rural,10,8,10,10,10,0,9,7,1,1,0
